,"(a,b)",input_a,input_b,operand,const
97,"(1,0)",1,0,sum,9
98,"(1,0)",1,0,mul,9
99,"(1,0)",1,0,div,9
100,"(6,8)",6,8,sub,9
101,"(6,8)",6,8,sum,9
102,"(6,8)",6,8,mul,9
103,"(6,8)",6,8,div,9
104,"(5,5)",5,5,sub,9
105,"(5,5)",5,5,sum,9
106,"(5,5)",5,5,mul,9
107,"(5,5)",5,5,div,9
108,"(2,1)",2,1,sub,9
109,"(2,1)",2,1,sum,9
110,"(2,1)",2,1,mul,9
111,"(2,1)",2,1,div,9
112,"(0,2)",0,2,sub,9
113,"(0,2)",0,2,sum,9
114,"(0,2)",0,2,mul,9
115,"(0,2)",0,2,div,9
116,"(8,2)",8,2,sub,9
117,"(8,2)",8,2,sum,9
118,"(8,2)",8,2,mul,9
119,"(8,2)",8,2,div,9
120,"(7,1)",7,1,sub,9
121,"(7,1)",7,1,sum,9
122,"(7,1)",7,1,mul,9
123,"(7,1)",7,1,div,9
124,"(5,7)",5,7,sub,9
125,"(5,7)",5,7,sum,9
126,"(5,7)",5,7,mul,9
127,"(5,7)",5,7,div,9
128,"(4,3)",4,3,sub,9
129,"(4,3)",4,3,sum,9
130,"(4,3)",4,3,mul,9
131,"(4,3)",4,3,div,9
132,"(7,4)",7,4,sub,9
133,"(7,4)",7,4,sum,9
134,"(7,4)",7,4,mul,9
135,"(7,4)",7,4,div,9
136,"(1,4)",1,4,sub,9
137,"(1,4)",1,4,sum,9
138,"(1,4)",1,4,mul,9
139,"(1,4)",1,4,div,9
140,"(5,9)",5,9,sub,9
141,"(5,9)",5,9,sum,9
142,"(5,9)",5,9,mul,9
143,"(5,9)",5,9,div,9
144,"(6,1)",6,1,sub,9
145,"(6,1)",6,1,sum,9
146,"(6,1)",6,1,mul,9
147,"(6,1)",6,1,div,9
148,"(2,9)",2,9,sub,9
149,"(2,9)",2,9,sum,9
150,"(2,9)",2,9,mul,9
151,"(2,9)",2,9,div,9
152,"(8,7)",8,7,sub,9
153,"(8,7)",8,7,sum,9
154,"(8,7)",8,7,mul,9
155,"(8,7)",8,7,div,9
156,"(4,6)",4,6,sub,9
157,"(4,6)",4,6,sum,9
158,"(4,6)",4,6,mul,9
159,"(4,6)",4,6,div,9
160,"(4,8)",4,8,sub,9
161,"(4,8)",4,8,sum,9
162,"(4,8)",4,8,mul,9
163,"(4,8)",4,8,div,9
164,"(6,4)",6,4,sub,9
165,"(6,4)",6,4,sum,9
166,"(6,4)",6,4,mul,9
167,"(6,4)",6,4,div,9
168,"(6,1)",6,1,sub,9
169,"(6,1)",6,1,sum,9
170,"(6,1)",6,1,mul,9
171,"(6,1)",6,1,div,9
172,"(9,3)",9,3,sub,9
173,"(9,3)",9,3,sum,9
174,"(9,3)",9,3,mul,9
175,"(9,3)",9,3,div,9
176,"(6,9)",6,9,sub,9
177,"(6,9)",6,9,sum,9
178,"(6,9)",6,9,mul,9
179,"(6,9)",6,9,div,9
180,"(7,5)",7,5,sub,9
181,"(7,5)",7,5,sum,9
182,"(7,5)",7,5,mul,9
183,"(7,5)",7,5,div,9
184,"(5,8)",5,8,sub,9
185,"(5,8)",5,8,sum,9
186,"(5,8)",5,8,mul,9
187,"(5,8)",5,8,div,9
188,"(2,2)",2,2,sub,9
189,"(2,2)",2,2,sum,9
190,"(2,2)",2,2,mul,9
191,"(2,2)",2,2,div,9
192,"(2,3)",2,3,sub,9
193,"(2,3)",2,3,sum,9
194,"(2,3)",2,3,mul,9
195,"(2,3)",2,3,div,9
196,"(5,7)",5,7,sub,9
197,"(5,7)",5,7,sum,9
198,"(5,7)",5,7,mul,9
199,"(5,7)",5,7,div,9
200,"(1,1)",1,1,sub,9
201,"(1,1)",1,1,sum,9
202,"(1,1)",1,1,mul,9
203,"(1,1)",1,1,div,9
204,"(5,8)",5,8,sub,9
205,"(5,8)",5,8,sum,9
206,"(5,8)",5,8,mul,9
207,"(5,8)",5,8,div,9
208,"(4,9)",4,9,sub,9
209,"(4,9)",4,9,sum,9
210,"(4,9)",4,9,mul,9
211,"(4,9)",4,9,div,9
212,"(7,2)",7,2,sub,9
213,"(7,2)",7,2,sum,9
214,"(7,2)",7,2,mul,9
215,"(7,2)",7,2,div,9
216,"(1,9)",1,9,sub,9
217,"(1,9)",1,9,sum,9
218,"(1,9)",1,9,mul,9
219,"(1,9)",1,9,div,9
220,"(5,0)",5,0,sub,9
221,"(5,0)",5,0,sum,9
222,"(5,0)",5,0,mul,9
223,"(5,0)",5,0,div,9
224,"(8,5)",8,5,sub,9
225,"(8,5)",8,5,sum,9
226,"(8,5)",8,5,mul,9
227,"(8,5)",8,5,div,9
228,"(6,5)",6,5,sub,9
229,"(6,5)",6,5,sum,9
230,"(6,5)",6,5,mul,9
231,"(6,5)",6,5,div,9
232,"(6,8)",6,8,sub,9
233,"(6,8)",6,8,sum,9
234,"(6,8)",6,8,mul,9
235,"(6,8)",6,8,div,9
236,"(8,4)",8,4,sub,9
237,"(8,4)",8,4,sum,9
238,"(8,4)",8,4,mul,9
239,"(8,4)",8,4,div,9
240,"(5,9)",5,9,sub,9
241,"(5,9)",5,9,sum,9
242,"(5,9)",5,9,mul,9
243,"(5,9)",5,9,div,9
244,"(6,8)",6,8,sub,9
245,"(6,8)",6,8,sum,9
246,"(6,8)",6,8,mul,9
247,"(6,8)",6,8,div,9
248,"(7,4)",7,4,sub,9
249,"(7,4)",7,4,sum,9
250,"(7,4)",7,4,mul,9
251,"(7,4)",7,4,div,9
252,"(3,3)",3,3,sub,9
253,"(3,3)",3,3,sum,9
254,"(3,3)",3,3,mul,9
255,"(3,3)",3,3,div,9
256,"(8,0)",8,0,sub,9
257,"(8,0)",8,0,sum,9
258,"(8,0)",8,0,mul,9
259,"(8,0)",8,0,div,9
260,"(9,8)",9,8,sub,9
261,"(9,8)",9,8,sum,9
262,"(9,8)",9,8,mul,9
263,"(9,8)",9,8,div,9
264,"(9,1)",9,1,sub,9
265,"(9,1)",9,1,sum,9
266,"(9,1)",9,1,mul,9
267,"(9,1)",9,1,div,9
268,"(5,4)",5,4,sub,9
269,"(5,4)",5,4,sum,9
270,"(5,4)",5,4,mul,9
271,"(5,4)",5,4,div,9
272,"(4,5)",4,5,sub,9
273,"(4,5)",4,5,sum,9
274,"(4,5)",4,5,mul,9
275,"(4,5)",4,5,div,9
276,"(3,8)",3,8,sub,9
277,"(3,8)",3,8,sum,9
278,"(3,8)",3,8,mul,9
279,"(3,8)",3,8,div,9
280,"(2,7)",2,7,sub,9
281,"(2,7)",2,7,sum,9
282,"(2,7)",2,7,mul,9
283,"(2,7)",2,7,div,9
284,"(6,4)",6,4,sub,9
285,"(6,4)",6,4,sum,9
286,"(6,4)",6,4,mul,9
287,"(6,4)",6,4,div,9
288,"(1,5)",1,5,sub,9
289,"(1,5)",1,5,sum,9
290,"(1,5)",1,5,mul,9
291,"(1,5)",1,5,div,9
292,"(1,5)",1,5,sub,9
293,"(1,5)",1,5,sum,9
294,"(1,5)",1,5,mul,9
295,"(1,5)",1,5,div,9
296,"(1,8)",1,8,sub,9
297,"(1,8)",1,8,sum,9
298,"(1,8)",1,8,mul,9
299,"(1,8)",1,8,div,9
300,"(8,8)",8,8,sub,9
301,"(8,8)",8,8,sum,9
302,"(8,8)",8,8,mul,9
303,"(8,8)",8,8,div,9
304,"(5,7)",5,7,sub,9
305,"(5,7)",5,7,sum,9
306,"(5,7)",5,7,mul,9
307,"(5,7)",5,7,div,9
308,"(3,4)",3,4,sub,9
309,"(3,4)",3,4,sum,9
310,"(3,4)",3,4,mul,9
311,"(3,4)",3,4,div,9
312,"(4,2)",4,2,sub,9
313,"(4,2)",4,2,sum,9
314,"(4,2)",4,2,mul,9
315,"(4,2)",4,2,div,9
316,"(7,3)",7,3,sub,9
317,"(7,3)",7,3,sum,9
318,"(7,3)",7,3,mul,9
319,"(7,3)",7,3,div,9
320,"(6,8)",6,8,sub,9
321,"(6,8)",6,8,sum,9
322,"(6,8)",6,8,mul,9
323,"(6,8)",6,8,div,9
324,"(2,8)",2,8,sub,9
325,"(2,8)",2,8,sum,9
326,"(2,8)",2,8,mul,9
327,"(2,8)",2,8,div,9
328,"(3,8)",3,8,sub,9
329,"(3,8)",3,8,sum,9
330,"(3,8)",3,8,mul,9
331,"(3,8)",3,8,div,9
332,"(9,3)",9,3,sub,9
333,"(9,3)",9,3,sum,9
334,"(9,3)",9,3,mul,9
335,"(9,3)",9,3,div,9
336,"(9,7)",9,7,sub,9
337,"(9,7)",9,7,sum,9
338,"(9,7)",9,7,mul,9
339,"(9,7)",9,7,div,9
340,"(0,6)",0,6,sub,9
341,"(0,6)",0,6,sum,9
342,"(0,6)",0,6,mul,9
343,"(0,6)",0,6,div,9
344,"(1,1)",1,1,sub,9
345,"(1,1)",1,1,sum,9
346,"(1,1)",1,1,mul,9
347,"(1,1)",1,1,div,9
348,"(0,8)",0,8,sub,9
349,"(0,8)",0,8,sum,9
350,"(0,8)",0,8,mul,9
351,"(0,8)",0,8,div,9
352,"(3,7)",3,7,sub,9
353,"(3,7)",3,7,sum,9
354,"(3,7)",3,7,mul,9
355,"(3,7)",3,7,div,9
356,"(2,1)",2,1,sub,9
357,"(2,1)",2,1,sum,9
358,"(2,1)",2,1,mul,9
359,"(2,1)",2,1,div,9
360,"(3,2)",3,2,sub,9
361,"(3,2)",3,2,sum,9
362,"(3,2)",3,2,mul,9
363,"(3,2)",3,2,div,9
364,"(5,1)",5,1,sub,9
365,"(5,1)",5,1,sum,9
366,"(5,1)",5,1,mul,9
367,"(5,1)",5,1,div,9
368,"(4,5)",4,5,sub,9
369,"(4,5)",4,5,sum,9
370,"(4,5)",4,5,mul,9
371,"(4,5)",4,5,div,9
372,"(1,4)",1,4,sub,9
373,"(1,4)",1,4,sum,9
374,"(1,4)",1,4,mul,9
375,"(1,4)",1,4,div,9
376,"(9,7)",9,7,sub,9
377,"(9,7)",9,7,sum,9
378,"(9,7)",9,7,mul,9
379,"(9,7)",9,7,div,9
380,"(4,9)",4,9,sub,9
381,"(4,9)",4,9,sum,9
382,"(4,9)",4,9,mul,9
383,"(4,9)",4,9,div,9
384,"(7,2)",7,2,sub,9
385,"(7,2)",7,2,sum,9
386,"(7,2)",7,2,mul,9
387,"(7,2)",7,2,div,9
388,"(6,3)",6,3,sub,9
389,"(6,3)",6,3,sum,9
390,"(6,3)",6,3,mul,9
391,"(6,3)",6,3,div,9
392,"(2,6)",2,6,sub,9
393,"(2,6)",2,6,sum,9
394,"(2,6)",2,6,mul,9
395,"(2,6)",2,6,div,9
396,"(5,7)",5,7,sub,9
397,"(5,7)",5,7,sum,9
398,"(5,7)",5,7,mul,9
399,"(5,7)",5,7,div,9
